x1,y1,z1,x2,y2,z2,x_slice,y_slice,depth_slice,z,c_z
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.280271,17.186385,-993.308482,-666.557258,1501.645113
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.179397,17.424125,-993.308482,-676.656610,1502.756332
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,1.078522,17.661865,-993.308482,-686.755963,1502.756332
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.977648,17.899606,-992.849199,-696.855315,1502.756332
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.876773,18.137346,-992.815827,-706.954667,1502.756332
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.775899,18.375086,-992.815827,-717.054020,1502.756332
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.675025,18.612827,-992.815827,-727.153372,1504.066907
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.574150,18.850567,-992.815827,-737.252724,1504.066907
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.473276,19.088307,-992.610413,-747.352077,1504.066907
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.372401,19.326048,-992.610413,-757.451429,1504.066907
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.271527,19.563788,-992.610413,-767.550782,1504.066907
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.170653,19.801528,-992.610413,-777.650134,1505.540702
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,0.069778,20.039269,-991.249567,-787.749486,1505.540702
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.031096,20.277009,-991.124020,-797.848839,1505.540702
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.131971,20.514749,-991.124020,-807.948191,1505.540702
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.232845,20.752490,-991.124020,-818.047544,1505.540702
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.333719,20.990230,-991.124020,-828.146896,1507.148129
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.434594,21.227970,-992.574061,-838.246248,1507.148129
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.535468,21.465711,-992.574061,-848.345601,1507.148129
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.636343,21.703451,-992.574061,-858.444953,1507.148129
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.737217,21.941191,-992.574061,-868.544306,1507.148129
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.838092,22.178932,-992.932850,-878.643658,1508.864966
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-0.938966,22.416672,-992.932850,-888.743010,1508.864966
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.039840,22.654412,-991.690824,-898.842363,1508.864966
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.140715,22.892152,-991.690824,-908.941715,1508.864966
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.241589,23.129893,-990.193022,-919.041068,1508.864966
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.342464,23.367633,-990.193022,-929.140420,1510.671379
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.443338,23.605373,-990.193022,-939.239772,1510.671379
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.544212,23.843114,-990.193022,-949.339125,1510.671379
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.645087,24.080854,-989.600765,-959.438477,1510.671379
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.745961,24.318594,-989.600765,-969.537829,1510.671379
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.846836,24.556335,-989.600765,-979.637182,1512.551132
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-1.947710,24.794075,-989.600765,-989.736534,1512.551132
8.038857,1.257783,-50.000000,-2.048584,25.031815,-52.171921,-2.048584,25.031815,-992.091038,-999.835887,1512.551132
