x1,y1,z1,x2,y2,z2,x_slice,y_slice,depth_slice,z,c_z
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.004654,10.373458,-996.638109,-515.266526,1500
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.007097,10.559882,-996.638109,-525.369792,1500.207068
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.009541,10.746305,-996.638109,-535.473057,1500.207068
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.011985,10.932729,-996.638109,-545.576322,1500.207068
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.014428,11.119153,-995.403189,-555.679587,1500.207068
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.016872,11.305576,-995.403189,-565.782853,1500.207068
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.019316,11.492000,-995.403189,-575.886118,1500.777388
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.021759,11.678424,-995.403189,-585.989383,1500.777388
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.024203,11.864848,-995.403189,-596.092648,1500.777388
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.026647,12.051271,-997.195414,-606.195913,1500.777388
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.029090,12.237695,-997.195414,-616.299179,1500.777388
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.031534,12.424119,-997.195414,-626.402444,1501.645113
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.033978,12.610542,-997.195414,-636.505709,1501.645113
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.036421,12.796966,-997.195414,-646.608974,1501.645113
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.038865,12.983390,-997.195414,-656.712240,1501.645113
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.041309,13.169813,-998.770603,-666.815505,1501.645113
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.043752,13.356237,-998.770603,-676.918770,1502.756332
0.122417,0.679426,-50.000000,-0.121950,19.321796,-50.031984,-0.046196,13.542661,-998.770603,-687.022035,1502.756332
